Abc,Name,Out/NotOut,Runs,Balls,4s,6s,SR
0,Shikhar Dhawan,Out,8,12,1,0,66.66
1,Rohit Sharma,Not Out,122,144,13,2,84.72
2,Virat Kohli (c),Out,18,34,1,0,52.94
3,KL Rahul,Out,26,42,2,0,61.90
4,MS Dhoni �,Out,34,46,2,0,73.91
5,Hardik Pandya,Not Out,15,7,3,0,214.28
0,Rohit Sharma,Out,57,70,3,1,81.42
1,Shikhar Dhawan,Out,117,109,16,0,107.33
2,Virat Kohli (c),Out,82,77,4,2,106.49
3,Hardik Pandya,Out,48,27,4,3,177.77
4,MS Dhoni,Out,27,14,3,1,192.85
5,KL Rahul,Not Out,11,3,1,1,366.66
6,Kedar Jadhav,Not Out,0,0,0,0,-
0,KL Rahul,Out,57,78,3,2,73.07
1,Rohit Sharma,Out,140,113,14,3,123.89
2,Virat Kohli (c),Out,77,65,7,0,118.46
3,Hardik Pandya,Out,26,19,2,1,136.84
4,MS Dhoni,Out,1,2,0,0,50.00
5,Vijay Shankar,Not Out,15,15,1,0,100.00
6,Kedar Jadhav,Not Out,9,8,1,0,112.50
0,KL Rahul,Out,30,53,2,0,56.60
1,Rohit Sharma,Out,1,10,0,0,10.00
2,Virat Kohli (c),Out,67,63,5,0,106.34
3,Vijay Shankar,Out,29,41,2,0,70.73
4,MS Dhoni,Out,28,52,3,0,53.84
5,Kedar Jadhav,Out,52,68,3,1,76.47
6,Hardik Pandya,Out,7,9,0,0,77.77
7,Mohammed Shami,Out,1,2,0,0,50.00
8,Kuldeep Yadav,Not Out,1,1,0,0,100.00
9,Jasprit Bumrah,Not Out,1,1,0,0,100.00
0,KL Rahul,Out,48,64,6,0,75.00
1,Rohit Sharma,Out,18,23,1,1,78.26
2,Virat Kohli (c),Out,72,82,8,0,87.80
3,Vijay Shankar,Out,14,19,3,0,73.68
4,Kedar Jadhav,Out,7,10,1,0,70.00
5,MS Dhoni,Not Out,56,61,3,2,91.80
6,Hardik Pandya,Out,46,38,5,0,121.05
7,Mohammed Shami,Out,0,2,0,0,0.00
8,Kuldeep Yadav,Not Out,0,1,0,0,0.00
0,KL Rahul,Out,0,9,0,0,0.00
1,Rohit Sharma,Out,102,109,15,0,93.57
2,Virat Kohli (c),Out,66,76,7,0,86.84
3,Rishabh Pant,Out,32,29,4,0,110.34
4,Hardik Pandya,Out,45,33,4,0,136.36
5,MS Dhoni,Not Out,42,31,4,1,135.48
6,Kedar Jadhav,Not Out,12,13,1,0,92.30
