Ab,Name,Overs,Maiden,Runs,Wickets,ECON,0s,4s,6s,Wide,NB
0,Bhuvneshwar Kumar,10,0,44,2,4.40,33,3,0,2,0
1,Jasprit Bumrah,10,1,35,2,3.50,41,4,0,0,0
2,Hardik Pandya,6,0,31,0,5.16,16,2,0,0,0
3,Kuldeep Yadav,10,0,46,1,4.60,28,2,1,1,0
4,Yuzvendra Chahal,10,0,51,4,5.10,32,1,2,3,0
5,Kedar Jadhav,4,0,16,0,4.00,13,1,0,0,0
0,Bhuvneshwar Kumar,10,0,50,3,5.00,31,5,0,1,0
1,Jasprit Bumrah,10,1,61,3,6.10,34,9,0,1,0
2,Hardik Pandya,10,0,68,0,6.80,24,6,1,2,1
3,Kuldeep Yadav,9,0,55,0,6.11,19,4,1,0,0
4,Yuzvendra Chahal,10,0,62,2,6.20,21,3,1,1,0
5,Kedar Jadhav,1,0,14,0,14.00,2,1,1,2,0
0,Bhuvneshwar Kumar,2.4,0,8,0,3.00,12,1,0,1,0
1,Jasprit Bumrah,8,0,52,0,6.50,24,8,0,0,1
2,Vijay Shankar,5.2,0,22,2,4.12,19,2,0,2,0
3,Hardik Pandya,8,0,44,2,5.50,21,5,0,1,0
4,Kuldeep Yadav,9,1,32,2,3.55,28,1,0,0,0
5,Yuzvendra Chahal,7,0,53,0,7.57,13,1,3,2,0
0,Mohammed Shami,9.5,1,40,4,4.06,38,4,0,3,0
1,Jasprit Bumrah,10,1,39,2,3.90,37,1,1,0,0
2,Yuzvendra Chahal,10,0,36,2,3.60,41,5,0,0,0
3,Hardik Pandya,10,1,51,2,5.10,32,3,0,2,0
4,Kuldeep Yadav,10,0,39,0,3.90,30,2,0,0,0
0,Mohammed Shami,6.2,0,16,4,2.52,29,2,0,1,0
1,Jasprit Bumrah,6,1,9,2,1.50,28,0,0,0,0
2,Hardik Pandya,5,0,28,1,5.60,13,3,0,0,1
3,Kuldeep Yadav,9,1,35,1,3.88,28,1,0,2,0
4,Kedar Jadhav,1,0,4,0,4.00,5,1,0,0,0
5,Yuzvendra Chahal,7,0,39,2,5.57,24,5,1,0,0
0,Mohammed Shami,10,1,69,5,6.90,37,8,3,1,0
1,Jasprit Bumrah,10,1,44,1,4.40,30,3,0,0,0
2,Yuzvendra Chahal,10,0,88,0,8.80,28,7,6,2,0
3,Hardik Pandya,10,0,60,0,6.00,22,4,1,1,0
4,Kuldeep Yadav,10,0,72,1,7.20,25,5,3,0,0
0,Bhuvneshwar Kumar,9,0,51,1,5.66,26,2,1,3,0
1,Jasprit Bumrah,10,1,55,4,5.50,33,7,0,2,0
2,Mohammed Shami,9,0,68,1,7.55,22,11,0,1,0
3,Yuzvendra Chahal,10,0,50,1,5.00,31,6,0,2,0
4,Hardik Pandya,10,0,60,3,6.00,26,5,1,2,0
0,Bhuvneshwar Kumar,10,0,73,1,7.30,26,10,0,3,0
1,Jasprit Bumrah,10,2,37,3,3.70,36,3,0,2,0
2,Hardik Pandya,10,0,50,1,5.00,25,4,0,1,1
3,Ravindra Jadeja,10,0,40,1,4.00,37,1,2,0,0
4,Kuldeep Yadav,10,0,58,1,5.80,26,6,0,1,0
0,Bhuvneshwar Kumar,10,1,43,3,4.30,32,2,0,0,0
1,Jasprit Bumrah,10,1,39,1,3.90,31,1,0,0,0
2,Hardik Pandya,10,0,55,1,5.50,29,5,0,5,0
3,Ravindra Jadeja,10,0,34,1,3.40,38,2,0,0,0
4,Yuzvendra Chahal,10,0,63,1,6.30,28,5,1,4,0
0,Bhuvneshwar Kumar,4,1,11,0,2.75,20,0,1,2,0
1,Mohammed Shami,3,0,5,0,1.66,13,0,0,0,0
2,Khaleel Ahmed,3,0,27,0,9.00,8,2,2,0,0
3,Kuldeep Yadav,2,0,3,1,1.50,9,0,0,0,0
4,Ravindra Jadeja,1,0,6,0,6.00,2,0,0,0,0
0,Bhuvneshwar Kumar,8,0,31,4,3.87,34,2,1,1,0
1,Mohammed Shami,8,0,39,2,4.87,32,5,0,2,0
2,Khaleel Ahmed,7,0,32,1,4.57,23,2,1,2,0
3,Kuldeep Yadav,10,0,59,2,5.90,20,4,1,1,0
4,Kedar Jadhav,5,0,25,0,5.00,16,3,0,1,0
5,Ravindra Jadeja,4,0,15,1,3.75,13,1,0,0,1
0,Bhuvneshwar Kumar,5,1,48,0,9.60,15,5,3,3,0
1,Mohammed Shami,7,1,50,2,7.14,20,4,2,1,1
2,Khaleel Ahmed,7,0,68,3,9.71,19,7,4,0,0
3,Yuzvendra Chahal,7,0,32,1,4.57,21,1,1,1,0
4,Kedar Jadhav,4,0,13,0,3.25,14,1,0,0,0
5,Ravindra Jadeja,5,0,26,1,5.20,15,0,2,1,0
0,Deepak Chahar,10,1,48,1,4.80,32,4,1,0,0
1,Mohammed Shami,9,1,57,1,6.33,27,8,1,0,0
2,Kuldeep Yadav,10,0,45,0,4.50,31,0,1,3,0
3,Shivam Dube,7.5,0,68,0,8.68,13,9,1,0,0
4,Kedar Jadhav,1,0,11,0,11.00,1,2,0,0,0
5,Ravindra Jadeja,10,0,58,0,5.80,30,1,4,0,1
0,Deepak Chahar,7,1,44,0,6.28,23,6,1,2,0
1,Shardul Thakur,8,0,55,1,6.87,24,7,1,2,0
2,Mohammed Shami,7.3,0,39,3,5.20,27,5,1,1,0
3,Ravindra Jadeja,10,0,74,2,7.40,25,4,5,1,0
4,Kuldeep Yadav,10,0,52,3,5.20,34,2,4,0,0
5,Shreyas Iyer,1,0,13,0,13.00,3,1,1,2,0
0,Shardul Thakur,10,0,66,1,6.60,29,5,3,2,0
1,Mohammed Shami,10,2,66,1,6.60,27,5,3,0,0
2,Navdeep Saini,10,0,58,2,5.80,33,8,1,1,0
3,Kuldeep Yadav,10,0,67,0,6.70,27,3,5,0,0
4,Ravindra Jadeja,10,0,54,1,5.40,28,6,0,0,0
0,Mohammed Shami,7.4,0,58,0,7.56,23,10,0,1,0
1,Jasprit Bumrah,7,0,50,0,7.14,24,9,0,1,0
2,Shardul Thakur,5,0,43,0,8.60,13,5,1,4,0
3,Kuldeep Yadav,10,0,55,0,5.50,31,2,3,2,0
4,Ravindra Jadeja,8,0,41,0,5.12,27,4,1,1,0
0,Jasprit Bumrah,9.1,2,32,1,3.49,37,3,0,1,0
1,Mohammed Shami,10,0,77,3,7.70,24,8,1,4,0
2,Navdeep Saini,10,0,62,2,6.20,24,8,0,0,0
3,Ravindra Jadeja,10,0,58,2,5.80,22,4,1,1,0
4,Kuldeep Yadav,10,0,65,2,6.50,19,3,1,0,0
0,Jasprit Bumrah,10,0,38,0,3.80,39,3,0,4,0
1,Mohammed Shami,10,0,63,4,6.30,28,6,1,4,0
2,Navdeep Saini,10,0,65,1,6.50,30,9,1,0,0
3,Kuldeep Yadav,10,0,62,1,6.20,18,5,0,1,0
4,Ravindra Jadeja,10,1,44,2,4.40,28,3,0,0,0
0,Jasprit Bumrah,10,1,53,0,5.30,37,3,1,9,0
1,Mohammed Shami,9.1,0,63,1,6.87,27,8,0,6,0
2,Shardul Thakur,9,0,80,1,8.88,20,6,4,2,1
3,Ravindra Jadeja,10,0,64,0,6.40,23,6,1,1,0
4,Kuldeep Yadav,10,0,84,2,8.40,17,10,1,1,0
0,Shardul Thakur,10,1,60,2,6.00,34,6,2,3,0
1,Jasprit Bumrah,10,0,64,0,6.40,25,6,2,0,0
2,Navdeep Saini,10,0,48,0,4.80,36,5,1,2,0
3,Yuzvendra Chahal,10,0,58,3,5.80,27,4,2,1,0
4,Ravindra Jadeja,10,0,35,1,3.50,34,3,0,0,0
0,Jasprit Bumrah,10,0,50,0,5.00,32,4,1,0,0
1,Navdeep Saini,8,0,68,0,8.50,26,8,2,2,2
2,Yuzvendra Chahal,10,1,47,3,4.70,28,3,1,0,0
3,Shardul Thakur,9.1,0,87,1,9.49,22,10,4,4,0
4,Ravindra Jadeja,10,0,45,1,4.50,25,3,0,0,0
0,Mohammed Shami,10,0,59,3,5.90,30,5,1,1,0
1,Jasprit Bumrah,10,0,73,1,7.30,25,9,0,2,1
2,Navdeep Saini,10,0,83,1,8.30,21,8,2,3,0
3,Yuzvendra Chahal,10,0,89,1,8.90,25,5,5,3,1
4,Ravindra Jadeja,10,0,63,0,6.30,27,6,1,1,0
0,Mohammed Shami,9,0,73,1,8.11,20,9,1,1,0
1,Jasprit Bumrah,10,1,79,1,7.90,22,9,1,1,0
2,Navdeep Saini,7,0,70,0,10.00,15,7,3,2,1
3,Yuzvendra Chahal,9,0,71,0,7.88,19,4,4,0,0
4,Ravindra Jadeja,10,0,60,0,6.00,19,3,1,0,0
5,Mayank Agarwal,1,0,10,0,10.00,2,2,0,0,0
6,Hardik Pandya,4,0,24,1,6.00,10,2,0,0,0
0,Jasprit Bumrah,9.3,0,43,2,4.52,35,3,1,5,0
1,T Natarajan,10,1,70,2,7.00,30,7,2,4,1
2,Shardul Thakur,10,1,51,3,5.10,29,5,0,0,0
3,Kuldeep Yadav,10,0,57,1,5.70,26,3,1,0,0
4,Ravindra Jadeja,10,0,62,1,6.20,31,3,4,0,1
0,Bhuvneshwar Kumar,9,0,30,2,3.33,34,2,0,2,0
1,Prasidh Krishna,8.1,1,54,4,6.61,30,5,2,3,0
2,Shardul Thakur,6,0,37,3,6.16,18,3,1,0,0
3,Krunal Pandya,10,0,59,1,5.90,31,4,3,0,0
4,Kuldeep Yadav,9,0,68,0,7.55,23,5,4,1,0
0,Bhuvneshwar Kumar,10,0,63,1,6.30,32,7,2,1,0
1,Prasidh Krishna,10,0,58,2,5.80,38,9,1,1,1
2,Shardul Thakur,7.3,0,54,0,7.20,23,4,3,1,1
3,Kuldeep Yadav,10,0,84,0,8.40,27,3,8,1,0
4,Krunal Pandya,6,0,72,0,12.00,6,1,6,3,0
0,Bhuvneshwar Kumar,10,0,42,3,4.20,40,6,0,3,0
1,T Natarajan,10,0,73,1,7.30,29,7,2,7,0
2,Prasidh Krishna,7,0,62,0,8.85,18,10,1,0,0
3,Shardul Thakur,10,0,67,4,6.70,25,7,1,1,0
4,Hardik Pandya,9,0,48,0,5.33,23,3,1,0,0
5,Krunal Pandya,4,0,29,0,7.25,7,0,2,1,0
0,Bhuvneshwar Kumar,9,0,63,0,7.00,25,2,2,5,0
1,Deepak Chahar,7,1,37,2,5.28,23,3,1,2,0
2,Hardik Pandya,5,0,34,1,6.80,12,3,1,0,1
3,Yuzvendra Chahal,10,0,52,2,5.20,33,1,3,3,0
4,Kuldeep Yadav,9,1,48,2,5.33,29,5,0,1,0
5,Krunal Pandya,10,1,26,1,2.60,36,0,0,1,0
0,Bhuvneshwar Kumar,10,0,54,3,5.40,33,7,0,1,1
1,Deepak Chahar,8,0,53,2,6.62,26,6,1,3,0
2,Hardik Pandya,4,0,20,0,5.00,15,1,0,3,1
3,Yuzvendra Chahal,10,1,50,3,5.00,26,4,0,0,0
4,Kuldeep Yadav,10,0,55,0,5.50,21,3,0,1,0
5,Krunal Pandya,8,0,37,0,4.62,23,3,0,1,0
0,Navdeep Saini,5,0,27,0,5.40,18,1,1,1,1
1,Chetan Sakariya,8,0,34,2,4.25,32,4,0,1,2
2,Rahul Chahar,10,0,54,3,5.40,31,6,0,0,2
3,Krishnappa Gowtham,8,0,49,1,6.12,25,6,0,2,0
4,Hardik Pandya,5,0,43,1,8.60,12,5,0,3,0
5,Nitish Rana,3,0,10,0,3.33,9,0,0,0,0
