,Name,Out/NotOut,Runs,Balls,4s,6s,SR
0,Shikhar Dhawan,1,8,12,1,0,66.66
1,Rohit Sharma,0,122,144,13,2,84.72
2,Virat Kohli,1,18,34,1,0,52.94
3,KL Rahul,1,26,42,2,0,61.90
4,MS Dhoni,1,34,46,2,0,73.91
5,Hardik Pandya,0,15,7,3,0,214.28
6,Rohit Sharma,1,57,70,3,1,81.42
7,Shikhar Dhawan,1,117,109,16,0,107.33
8,Virat Kohli,1,82,77,4,2,106.49
9,Hardik Pandya,1,48,27,4,3,177.77
10,MS Dhoni,1,27,14,3,1,192.85
11,KL Rahul,0,11,3,1,1,366.66
13,KL Rahul,1,57,78,3,2,73.07
14,Rohit Sharma,1,140,113,14,3,123.89
15,Virat Kohli,1,77,65,7,0,118.46
16,Hardik Pandya,1,26,19,2,1,136.84
17,MS Dhoni,1,1,2,0,0,50.00
18,Vijay Shankar,0,15,15,1,0,100.00
19,Kedar Jadhav,0,9,8,1,0,112.50
20,KL Rahul,1,30,53,2,0,56.60
21,Rohit Sharma,1,1,10,0,0,10.00
22,Virat Kohli,1,67,63,5,0,106.34
23,Vijay Shankar,1,29,41,2,0,70.73
24,MS Dhoni,1,28,52,3,0,53.84
25,Kedar Jadhav,1,52,68,3,1,76.47
26,Hardik Pandya,1,7,9,0,0,77.77
27,Mohammed Shami,1,1,2,0,0,50.00
28,Kuldeep Yadav,0,1,1,0,0,100.00
29,Jasprit Bumrah,0,1,1,0,0,100.00
30,KL Rahul,1,48,64,6,0,75.00
31,Rohit Sharma,1,18,23,1,1,78.26
32,Virat Kohli,1,72,82,8,0,87.80
33,Vijay Shankar,1,14,19,3,0,73.68
34,Kedar Jadhav,1,7,10,1,0,70.00
35,MS Dhoni,0,56,61,3,2,91.80
36,Hardik Pandya,1,46,38,5,0,121.05
37,Mohammed Shami,1,0,2,0,0,0.00
38,Kuldeep Yadav,0,0,1,0,0,0.00
39,KL Rahul,1,0,9,0,0,0.00
40,Rohit Sharma,1,102,109,15,0,93.57
41,Virat Kohli,1,66,76,7,0,86.84
42,Rishabh Pant,1,32,29,4,0,110.34
43,Hardik Pandya,1,45,33,4,0,136.36
44,MS Dhoni,0,42,31,4,1,135.48
45,Kedar Jadhav,0,12,13,1,0,92.30
46,KL Rahul,1,77,92,6,1,83.69
47,Rohit Sharma,1,104,92,7,5,113.04
48,Virat Kohli,1,26,27,3,0,96.29
49,Rishabh Pant,1,48,41,6,1,117.07
50,Hardik Pandya,1,0,2,0,0,0.00
51,MS Dhoni,1,35,33,4,0,106.06
52,Dinesh Karthik,1,8,9,1,0,88.88
53,Bhuvneshwar Kumar,1,2,3,0,0,66.66
54,Mohammed Shami,1,1,2,0,0,50.00
56,KL Rahul,1,111,118,11,1,94.06
57,Rohit Sharma,1,103,94,14,2,109.57
58,Virat Kohli,0,34,41,3,0,82.92
59,Rishabh Pant,1,4,4,1,0,100.00
60,Hardik Pandya,0,7,4,1,0,175.00
61,KL Rahul,1,1,7,0,0,14.28
62,Rohit Sharma,1,1,4,0,0,25.00
63,Virat Kohli,1,1,6,0,0,16.66
64,Rishabh Pant,1,32,56,4,0,57.14
65,Dinesh Karthik,1,6,25,1,0,24.00
66,Hardik Pandya,1,32,62,2,0,51.61
67,MS Dhoni,1,50,72,1,1,69.44
68,Ravindra Jadeja,1,77,59,4,4,130.50
69,Bhuvneshwar Kumar,1,0,1,0,0,0.00
70,Yuzvendra Chahal,1,5,5,1,0,100.00
72,Shikhar Dhawan,1,2,3,0,0,66.66
73,Rohit Sharma,1,18,34,2,0,52.94
74,Virat Kohli,1,120,125,14,1,96.00
75,Rishabh Pant,1,20,35,2,0,57.14
76,Shreyas Iyer,1,71,68,5,1,104.41
77,Kedar Jadhav,1,16,14,2,0,114.28
78,Ravindra Jadeja,0,16,16,1,0,100.00
79,Bhuvneshwar Kumar,1,1,2,0,0,50.00
80,Mohammed Shami,0,3,5,0,0,60.00
81,Rohit Sharma,1,10,6,2,0,166.66
82,Shikhar Dhawan,1,36,36,5,0,100.00
83,Virat Kohli,0,114,99,14,0,115.15
84,Rishabh Pant,1,0,1,0,0,0.00
85,Shreyas Iyer,1,65,41,3,5,158.53
86,Kedar Jadhav,0,19,12,1,1,158.33
87,Rohit Sharma,1,36,56,6,0,64.28
88,KL Rahul,1,6,15,1,0,40.00
89,Virat Kohli,1,4,4,1,0,100.00
90,Shreyas Iyer,1,70,88,5,1,79.54
91,Rishabh Pant,1,71,69,7,1,102.89
92,Kedar Jadhav,1,40,35,3,1,114.28
93,Ravindra Jadeja,1,21,21,2,0,100.00
94,Shivam Dube,1,9,6,1,0,150.00
95,Deepak Chahar,0,6,8,0,0,75.00
96,Mohammed Shami,0,0,1,0,0,0.00
97,Rohit Sharma,1,159,138,17,5,115.21
98,KL Rahul,1,102,104,8,3,98.07
99,Virat Kohli,1,0,1,0,0,0.00
100,Shreyas Iyer,1,53,32,3,4,165.62
101,Rishabh Pant,1,39,16,3,4,243.75
102,Kedar Jadhav,0,16,10,3,0,160.00
104,Rohit Sharma,1,63,63,8,1,100.00
105,KL Rahul,1,77,89,8,1,86.51
106,Virat Kohli,1,85,81,9,0,104.93
107,Shreyas Iyer,1,7,7,1,0,100.00
108,Rishabh Pant,1,7,6,1,0,116.66
109,Kedar Jadhav,1,9,10,1,0,90.00
110,Ravindra Jadeja,0,39,31,4,0,125.80
111,Shardul Thakur,0,17,6,2,1,283.33
112,Rohit Sharma,1,10,15,2,0,66.66
113,Shikhar Dhawan,1,74,91,9,1,81.31
114,KL Rahul,1,47,61,4,0,77.04
115,Virat Kohli,1,16,14,0,1,114.28
116,Shreyas Iyer,1,4,9,0,0,44.44
117,Rishabh Pant,1,28,33,2,1,84.84
118,Ravindra Jadeja,1,25,32,2,1,78.12
119,Shardul Thakur,1,13,10,2,0,130.00
120,Mohammed Shami,1,10,15,1,0,66.66
121,Kuldeep Yadav,1,17,15,2,0,113.33
123,Rohit Sharma,1,42,44,6,0,95.45
124,Shikhar Dhawan,1,96,90,13,1,106.66
125,Virat Kohli,1,78,76,6,0,102.63
126,Shreyas Iyer,1,7,17,1,0,41.17
127,KL Rahul,1,80,52,6,3,153.84
128,Manish Pandey,1,2,4,0,0,50.00
