,Name,Overs,Maiden,Runs,Wickets,ECON,0s,4s,6s,Wide,NB
0,Bhuvneshwar Kumar,10.0,0,44,2,4.4,33,3,0,2,0
1,Jasprit Bumrah,10.0,1,35,2,3.5,41,4,0,0,0
2,Hardik Pandya,6.0,0,31,0,5.16,16,2,0,0,0
3,Kuldeep Yadav,10.0,0,46,1,4.6,28,2,1,1,0
4,Yuzvendra Chahal,10.0,0,51,4,5.1,32,1,2,3,0
5,Kedar Jadhav,4.0,0,16,0,4.0,13,1,0,0,0
6,Bhuvneshwar Kumar,10.0,0,50,3,5.0,31,5,0,1,0
7,Jasprit Bumrah,10.0,1,61,3,6.1,34,9,0,1,0
8,Hardik Pandya,10.0,0,68,0,6.8,24,6,1,2,1
9,Kuldeep Yadav,9.0,0,55,0,6.11,19,4,1,0,0
10,Yuzvendra Chahal,10.0,0,62,2,6.2,21,3,1,1,0
11,Kedar Jadhav,1.0,0,14,0,14.0,2,1,1,2,0
12,Bhuvneshwar Kumar,2.4,0,8,0,3.0,12,1,0,1,0
13,Jasprit Bumrah,8.0,0,52,0,6.5,24,8,0,0,1
14,Vijay Shankar,5.2,0,22,2,4.12,19,2,0,2,0
15,Hardik Pandya,8.0,0,44,2,5.5,21,5,0,1,0
16,Kuldeep Yadav,9.0,1,32,2,3.55,28,1,0,0,0
17,Yuzvendra Chahal,7.0,0,53,0,7.57,13,1,3,2,0
18,Mohammed Shami,9.5,1,40,4,4.06,38,4,0,3,0
19,Jasprit Bumrah,10.0,1,39,2,3.9,37,1,1,0,0
20,Yuzvendra Chahal,10.0,0,36,2,3.6,41,5,0,0,0
21,Hardik Pandya,10.0,1,51,2,5.1,32,3,0,2,0
22,Kuldeep Yadav,10.0,0,39,0,3.9,30,2,0,0,0
23,Mohammed Shami,6.2,0,16,4,2.52,29,2,0,1,0
24,Jasprit Bumrah,6.0,1,9,2,1.5,28,0,0,0,0
25,Hardik Pandya,5.0,0,28,1,5.6,13,3,0,0,1
26,Kuldeep Yadav,9.0,1,35,1,3.88,28,1,0,2,0
27,Kedar Jadhav,1.0,0,4,0,4.0,5,1,0,0,0
28,Yuzvendra Chahal,7.0,0,39,2,5.57,24,5,1,0,0
29,Mohammed Shami,10.0,1,69,5,6.9,37,8,3,1,0
30,Jasprit Bumrah,10.0,1,44,1,4.4,30,3,0,0,0
31,Yuzvendra Chahal,10.0,0,88,0,8.8,28,7,6,2,0
32,Hardik Pandya,10.0,0,60,0,6.0,22,4,1,1,0
33,Kuldeep Yadav,10.0,0,72,1,7.2,25,5,3,0,0
34,Bhuvneshwar Kumar,9.0,0,51,1,5.66,26,2,1,3,0
35,Jasprit Bumrah,10.0,1,55,4,5.5,33,7,0,2,0
36,Mohammed Shami,9.0,0,68,1,7.55,22,11,0,1,0
37,Yuzvendra Chahal,10.0,0,50,1,5.0,31,6,0,2,0
38,Hardik Pandya,10.0,0,60,3,6.0,26,5,1,2,0
39,Bhuvneshwar Kumar,10.0,0,73,1,7.3,26,10,0,3,0
40,Jasprit Bumrah,10.0,2,37,3,3.7,36,3,0,2,0
41,Hardik Pandya,10.0,0,50,1,5.0,25,4,0,1,1
42,Ravindra Jadeja,10.0,0,40,1,4.0,37,1,2,0,0
43,Kuldeep Yadav,10.0,0,58,1,5.8,26,6,0,1,0
44,Bhuvneshwar Kumar,10.0,1,43,3,4.3,32,2,0,0,0
45,Jasprit Bumrah,10.0,1,39,1,3.9,31,1,0,0,0
46,Hardik Pandya,10.0,0,55,1,5.5,29,5,0,5,0
47,Ravindra Jadeja,10.0,0,34,1,3.4,38,2,0,0,0
48,Yuzvendra Chahal,10.0,0,63,1,6.3,28,5,1,4,0
49,Bhuvneshwar Kumar,4.0,1,11,0,2.75,20,0,1,2,0
50,Mohammed Shami,3.0,0,5,0,1.66,13,0,0,0,0
51,Khaleel Ahmed,3.0,0,27,0,9.0,8,2,2,0,0
52,Kuldeep Yadav,2.0,0,3,1,1.5,9,0,0,0,0
53,Ravindra Jadeja,1.0,0,6,0,6.0,2,0,0,0,0
54,Bhuvneshwar Kumar,8.0,0,31,4,3.87,34,2,1,1,0
55,Mohammed Shami,8.0,0,39,2,4.87,32,5,0,2,0
56,Khaleel Ahmed,7.0,0,32,1,4.57,23,2,1,2,0
57,Kuldeep Yadav,10.0,0,59,2,5.9,20,4,1,1,0
58,Kedar Jadhav,5.0,0,25,0,5.0,16,3,0,1,0
59,Ravindra Jadeja,4.0,0,15,1,3.75,13,1,0,0,1
60,Bhuvneshwar Kumar,5.0,1,48,0,9.6,15,5,3,3,0
61,Mohammed Shami,7.0,1,50,2,7.14,20,4,2,1,1
62,Khaleel Ahmed,7.0,0,68,3,9.71,19,7,4,0,0
63,Yuzvendra Chahal,7.0,0,32,1,4.57,21,1,1,1,0
64,Kedar Jadhav,4.0,0,13,0,3.25,14,1,0,0,0
65,Ravindra Jadeja,5.0,0,26,1,5.2,15,0,2,1,0
66,Deepak Chahar,10.0,1,48,1,4.8,32,4,1,0,0
67,Mohammed Shami,9.0,1,57,1,6.33,27,8,1,0,0
68,Kuldeep Yadav,10.0,0,45,0,4.5,31,0,1,3,0
69,Shivam Dube,7.5,0,68,0,8.68,13,9,1,0,0
70,Kedar Jadhav,1.0,0,11,0,11.0,1,2,0,0,0
71,Ravindra Jadeja,10.0,0,58,0,5.8,30,1,4,0,1
72,Deepak Chahar,7.0,1,44,0,6.28,23,6,1,2,0
73,Shardul Thakur,8.0,0,55,1,6.87,24,7,1,2,0
74,Mohammed Shami,7.3,0,39,3,5.2,27,5,1,1,0
75,Ravindra Jadeja,10.0,0,74,2,7.4,25,4,5,1,0
76,Kuldeep Yadav,10.0,0,52,3,5.2,34,2,4,0,0
77,Shreyas Iyer,1.0,0,13,0,13.0,3,1,1,2,0
78,Shardul Thakur,10.0,0,66,1,6.6,29,5,3,2,0
79,Mohammed Shami,10.0,2,66,1,6.6,27,5,3,0,0
80,Navdeep Saini,10.0,0,58,2,5.8,33,8,1,1,0
81,Kuldeep Yadav,10.0,0,67,0,6.7,27,3,5,0,0
82,Ravindra Jadeja,10.0,0,54,1,5.4,28,6,0,0,0
83,Mohammed Shami,7.4,0,58,0,7.56,23,10,0,1,0
84,Jasprit Bumrah,7.0,0,50,0,7.14,24,9,0,1,0
85,Shardul Thakur,5.0,0,43,0,8.6,13,5,1,4,0
86,Kuldeep Yadav,10.0,0,55,0,5.5,31,2,3,2,0
87,Ravindra Jadeja,8.0,0,41,0,5.12,27,4,1,1,0
88,Jasprit Bumrah,9.1,2,32,1,3.49,37,3,0,1,0
89,Mohammed Shami,10.0,0,77,3,7.7,24,8,1,4,0
90,Navdeep Saini,10.0,0,62,2,6.2,24,8,0,0,0
91,Ravindra Jadeja,10.0,0,58,2,5.8,22,4,1,1,0
92,Kuldeep Yadav,10.0,0,65,2,6.5,19,3,1,0,0
93,Jasprit Bumrah,10.0,0,38,0,3.8,39,3,0,4,0
94,Mohammed Shami,10.0,0,63,4,6.3,28,6,1,4,0
95,Navdeep Saini,10.0,0,65,1,6.5,30,9,1,0,0
96,Kuldeep Yadav,10.0,0,62,1,6.2,18,5,0,1,0
97,Ravindra Jadeja,10.0,1,44,2,4.4,28,3,0,0,0
98,Jasprit Bumrah,10.0,1,53,0,5.3,37,3,1,9,0
99,Mohammed Shami,9.1,0,63,1,6.87,27,8,0,6,0
100,Shardul Thakur,9.0,0,80,1,8.88,20,6,4,2,1
101,Ravindra Jadeja,10.0,0,64,0,6.4,23,6,1,1,0
102,Kuldeep Yadav,10.0,0,84,2,8.4,17,10,1,1,0
103,Shardul Thakur,10.0,1,60,2,6.0,34,6,2,3,0
104,Jasprit Bumrah,10.0,0,64,0,6.4,25,6,2,0,0
105,Navdeep Saini,10.0,0,48,0,4.8,36,5,1,2,0
106,Yuzvendra Chahal,10.0,0,58,3,5.8,27,4,2,1,0
107,Ravindra Jadeja,10.0,0,35,1,3.5,34,3,0,0,0
108,Jasprit Bumrah,10.0,0,50,0,5.0,32,4,1,0,0
109,Navdeep Saini,8.0,0,68,0,8.5,26,8,2,2,2
110,Yuzvendra Chahal,10.0,1,47,3,4.7,28,3,1,0,0
111,Shardul Thakur,9.1,0,87,1,9.49,22,10,4,4,0
112,Ravindra Jadeja,10.0,0,45,1,4.5,25,3,0,0,0
113,Mohammed Shami,10.0,0,59,3,5.9,30,5,1,1,0
114,Jasprit Bumrah,10.0,0,73,1,7.3,25,9,0,2,1
115,Navdeep Saini,10.0,0,83,1,8.3,21,8,2,3,0
116,Yuzvendra Chahal,10.0,0,89,1,8.9,25,5,5,3,1
117,Ravindra Jadeja,10.0,0,63,0,6.3,27,6,1,1,0
118,Mohammed Shami,9.0,0,73,1,8.11,20,9,1,1,0
119,Jasprit Bumrah,10.0,1,79,1,7.9,22,9,1,1,0
120,Navdeep Saini,7.0,0,70,0,10.0,15,7,3,2,1
121,Yuzvendra Chahal,9.0,0,71,0,7.88,19,4,4,0,0
122,Ravindra Jadeja,10.0,0,60,0,6.0,19,3,1,0,0
123,Mayank Agarwal,1.0,0,10,0,10.0,2,2,0,0,0
124,Hardik Pandya,4.0,0,24,1,6.0,10,2,0,0,0
125,Jasprit Bumrah,9.3,0,43,2,4.52,35,3,1,5,0
126,T Natarajan,10.0,1,70,2,7.0,30,7,2,4,1
127,Shardul Thakur,10.0,1,51,3,5.1,29,5,0,0,0
128,Kuldeep Yadav,10.0,0,57,1,5.7,26,3,1,0,0
129,Ravindra Jadeja,10.0,0,62,1,6.2,31,3,4,0,1
130,Bhuvneshwar Kumar,9.0,0,30,2,3.33,34,2,0,2,0
131,Prasidh Krishna,8.1,1,54,4,6.61,30,5,2,3,0
132,Shardul Thakur,6.0,0,37,3,6.16,18,3,1,0,0
133,Krunal Pandya,10.0,0,59,1,5.9,31,4,3,0,0
134,Kuldeep Yadav,9.0,0,68,0,7.55,23,5,4,1,0
135,Bhuvneshwar Kumar,10.0,0,63,1,6.3,32,7,2,1,0
136,Prasidh Krishna,10.0,0,58,2,5.8,38,9,1,1,1
137,Shardul Thakur,7.3,0,54,0,7.2,23,4,3,1,1
138,Kuldeep Yadav,10.0,0,84,0,8.4,27,3,8,1,0
139,Krunal Pandya,6.0,0,72,0,12.0,6,1,6,3,0
140,Bhuvneshwar Kumar,10.0,0,42,3,4.2,40,6,0,3,0
141,T Natarajan,10.0,0,73,1,7.3,29,7,2,7,0
142,Prasidh Krishna,7.0,0,62,0,8.85,18,10,1,0,0
143,Shardul Thakur,10.0,0,67,4,6.7,25,7,1,1,0
144,Hardik Pandya,9.0,0,48,0,5.33,23,3,1,0,0
145,Krunal Pandya,4.0,0,29,0,7.25,7,0,2,1,0
146,Bhuvneshwar Kumar,9.0,0,63,0,7.0,25,2,2,5,0
147,Deepak Chahar,7.0,1,37,2,5.28,23,3,1,2,0
148,Hardik Pandya,5.0,0,34,1,6.8,12,3,1,0,1
149,Yuzvendra Chahal,10.0,0,52,2,5.2,33,1,3,3,0
150,Kuldeep Yadav,9.0,1,48,2,5.33,29,5,0,1,0
151,Krunal Pandya,10.0,1,26,1,2.6,36,0,0,1,0
152,Bhuvneshwar Kumar,10.0,0,54,3,5.4,33,7,0,1,1
153,Deepak Chahar,8.0,0,53,2,6.62,26,6,1,3,0
154,Hardik Pandya,4.0,0,20,0,5.0,15,1,0,3,1
155,Yuzvendra Chahal,10.0,1,50,3,5.0,26,4,0,0,0
156,Kuldeep Yadav,10.0,0,55,0,5.5,21,3,0,1,0
157,Krunal Pandya,8.0,0,37,0,4.62,23,3,0,1,0
158,Navdeep Saini,5.0,0,27,0,5.4,18,1,1,1,1
159,Chetan Sakariya,8.0,0,34,2,4.25,32,4,0,1,2
160,Rahul Chahar,10.0,0,54,3,5.4,31,6,0,0,2
161,Krishnappa Gowtham,8.0,0,49,1,6.12,25,6,0,2,0
162,Hardik Pandya,5.0,0,43,1,8.6,12,5,0,3,0
163,Nitish Rana,3.0,0,10,0,3.33,9,0,0,0,0
164,Jasprit Bumrah,10.0,0,48,2,4.8,30,4,0,1,0
165,Bhuvneshwar Kumar,10.0,0,64,0,6.4,26,3,1,4,0
166,Shardul Thakur,10.0,1,72,0,7.2,26,5,3,2,3
167,Ravichandran Ashwin,10.0,0,53,1,5.3,20,2,0,2,0
168,Yuzvendra Chahal,10.0,0,53,0,5.3,30,6,0,0,0
169,Jasprit Bumrah,10.0,0,37,1,3.7,38,3,0,1,0
170,Bhuvneshwar Kumar,8.0,0,67,0,8.37,15,6,2,1,0
171,Ravichandran Ashwin,10.0,1,68,0,6.8,24,6,2,0,0
172,Yuzvendra Chahal,10.0,0,47,1,4.7,26,2,0,1,0
173,Shardul Thakur,5.0,0,35,1,7.0,13,5,0,2,0
174,Venkatesh Iyer,5.0,0,28,0,5.6,10,2,0,0,0
175,Shreyas Iyer,0.1,0,1,0,6.0,0,0,0,0,0
176,Deepak Chahar,8.0,0,53,2,6.62,26,6,0,6,1
177,Jasprit Bumrah,10.0,0,52,2,5.2,27,5,0,1,0
178,Prasidh Krishna,9.5,0,59,3,6.0,31,7,1,1,1
179,Jayant Yadav,10.0,0,53,0,5.3,30,3,1,1,1
180,Yuzvendra Chahal,9.0,0,47,1,5.22,28,5,1,0,0
181,Shreyas Iyer,3.0,0,21,0,7.0,7,1,1,0,0
182,Mohammed Siraj,8.0,2,26,1,3.25,35,3,0,1,0
183,Prasidh Krishna,10.0,0,29,2,2.9,47,4,0,2,0
184,Washington Sundar,9.0,1,30,3,3.33,36,3,0,1,0
185,Shardul Thakur,7.0,0,38,0,5.42,23,2,1,0,0
186,Yuzvendra Chahal,9.5,0,49,4,4.98,38,1,4,0,0
187,Mohammed Siraj,9.0,1,38,1,4.22,38,3,1,3,0
188,Shardul Thakur,9.0,1,41,2,4.55,35,4,2,0,0
189,Prasidh Krishna,9.0,3,12,4,1.33,45,1,0,0,0
190,Yuzvendra Chahal,10.0,0,45,1,4.5,33,1,2,0,2
191,Washington Sundar,5.0,0,28,1,5.6,14,1,1,0,1
192,Deepak Hooda,4.0,0,24,1,6.0,12,1,1,1,0
193,Deepak Chahar,8.0,1,41,2,5.12,28,5,0,1,0
194,Mohammed Siraj,9.0,1,29,3,3.22,41,4,0,2,0
195,Prasidh Krishna,8.1,1,27,3,3.3,37,2,1,1,0
196,Kuldeep Yadav,8.0,0,51,2,6.37,27,2,4,2,0
197,Washington Sundar,4.0,0,17,0,4.25,18,1,1,2,0
198,Mohammed Shami,7.0,0,31,3,4.42,29,5,0,1,0
199,Jasprit Bumrah,7.2,3,19,6,2.59,38,2,0,2,0
