,Match,Name,Out/NotOut,Runs,Balls,4s,6s,SR,MatchId
0,IND vs SA,Shikhar Dhawan,1,8,12,1,0,66.66,ODI no. 4150
1,IND vs SA,Rohit Sharma,0,122,144,13,2,84.72,ODI no. 4150
2,IND vs SA,Virat Kohli,1,18,34,1,0,52.94,ODI no. 4150
3,IND vs SA,KL Rahul,1,26,42,2,0,61.90,ODI no. 4150
4,IND vs SA,MS Dhoni,1,34,46,2,0,73.91,ODI no. 4150
5,IND vs SA,Hardik Pandya,0,15,7,3,0,214.28,ODI no. 4150
6,AUS vs IND,Rohit Sharma,1,57,70,3,1,81.42,ODI no. 4155
7,AUS vs IND,Shikhar Dhawan,1,117,109,16,0,107.33,ODI no. 4155
8,AUS vs IND,Virat Kohli,1,82,77,4,2,106.49,ODI no. 4155
9,AUS vs IND,Hardik Pandya,1,48,27,4,3,177.77,ODI no. 4155
10,AUS vs IND,MS Dhoni,1,27,14,3,1,192.85,ODI no. 4155
11,AUS vs IND,KL Rahul,0,11,3,1,1,366.66,ODI no. 4155
12,AUS vs IND,Kedar Jadhav,0,0,0,0,0,-,ODI no. 4155
13,IND vs PAK,KL Rahul,1,57,78,3,2,73.07,ODI no. 4161
14,IND vs PAK,Rohit Sharma,1,140,113,14,3,123.89,ODI no. 4161
15,IND vs PAK,Virat Kohli,1,77,65,7,0,118.46,ODI no. 4161
16,IND vs PAK,Hardik Pandya,1,26,19,2,1,136.84,ODI no. 4161
17,IND vs PAK,MS Dhoni,1,1,2,0,0,50.00,ODI no. 4161
18,IND vs PAK,Vijay Shankar,0,15,15,1,0,100.00,ODI no. 4161
19,IND vs PAK,Kedar Jadhav,0,9,8,1,0,112.50,ODI no. 4161
20,AFG vs IND,KL Rahul,1,30,53,2,0,56.60,ODI no. 4169
21,AFG vs IND,Rohit Sharma,1,1,10,0,0,10.00,ODI no. 4169
22,AFG vs IND,Virat Kohli,1,67,63,5,0,106.34,ODI no. 4169
23,AFG vs IND,Vijay Shankar,1,29,41,2,0,70.73,ODI no. 4169
24,AFG vs IND,MS Dhoni,1,28,52,3,0,53.84,ODI no. 4169
25,AFG vs IND,Kedar Jadhav,1,52,68,3,1,76.47,ODI no. 4169
26,AFG vs IND,Hardik Pandya,1,7,9,0,0,77.77,ODI no. 4169
27,AFG vs IND,Mohammed Shami,1,1,2,0,0,50.00,ODI no. 4169
28,AFG vs IND,Kuldeep Yadav,0,1,1,0,0,100.00,ODI no. 4169
29,AFG vs IND,Jasprit Bumrah,0,1,1,0,0,100.00,ODI no. 4169
30,IND vs WI,KL Rahul,1,48,64,6,0,75.00,ODI no. 4175
31,IND vs WI,Rohit Sharma,1,18,23,1,1,78.26,ODI no. 4175
32,IND vs WI,Virat Kohli,1,72,82,8,0,87.80,ODI no. 4175
33,IND vs WI,Vijay Shankar,1,14,19,3,0,73.68,ODI no. 4175
34,IND vs WI,Kedar Jadhav,1,7,10,1,0,70.00,ODI no. 4175
35,IND vs WI,MS Dhoni,0,56,61,3,2,91.80,ODI no. 4175
36,IND vs WI,Hardik Pandya,1,46,38,5,0,121.05,ODI no. 4175
37,IND vs WI,Mohammed Shami,1,0,2,0,0,0.00,ODI no. 4175
38,IND vs WI,Kuldeep Yadav,0,0,1,0,0,0.00,ODI no. 4175
39,ENG vs IND,KL Rahul,1,0,9,0,0,0.00,ODI no. 4179
40,ENG vs IND,Rohit Sharma,1,102,109,15,0,93.57,ODI no. 4179
41,ENG vs IND,Virat Kohli,1,66,76,7,0,86.84,ODI no. 4179
42,ENG vs IND,Rishabh Pant,1,32,29,4,0,110.34,ODI no. 4179
43,ENG vs IND,Hardik Pandya,1,45,33,4,0,136.36,ODI no. 4179
44,ENG vs IND,MS Dhoni,0,42,31,4,1,135.48,ODI no. 4179
45,ENG vs IND,Kedar Jadhav,0,12,13,1,0,92.30,ODI no. 4179
46,BAN vs IND,KL Rahul,1,77,92,6,1,83.69,ODI no. 4182
47,BAN vs IND,Rohit Sharma,1,104,92,7,5,113.04,ODI no. 4182
48,BAN vs IND,Virat Kohli,1,26,27,3,0,96.29,ODI no. 4182
49,BAN vs IND,Rishabh Pant,1,48,41,6,1,117.07,ODI no. 4182
50,BAN vs IND,Hardik Pandya,1,0,2,0,0,0.00,ODI no. 4182
51,BAN vs IND,MS Dhoni,1,35,33,4,0,106.06,ODI no. 4182
52,BAN vs IND,Dinesh Karthik,1,8,9,1,0,88.88,ODI no. 4182
53,BAN vs IND,Bhuvneshwar Kumar,1,2,3,0,0,66.66,ODI no. 4182
54,BAN vs IND,Mohammed Shami,1,1,2,0,0,50.00,ODI no. 4182
55,BAN vs IND,Jasprit Bumrah,0,0,0,0,0,-,ODI no. 4182
56,IND vs SL,KL Rahul,1,111,118,11,1,94.06,ODI no. 4187
57,IND vs SL,Rohit Sharma,1,103,94,14,2,109.57,ODI no. 4187
58,IND vs SL,Virat Kohli,0,34,41,3,0,82.92,ODI no. 4187
59,IND vs SL,Rishabh Pant,1,4,4,1,0,100.00,ODI no. 4187
60,IND vs SL,Hardik Pandya,0,7,4,1,0,175.00,ODI no. 4187
61,IND vs NZ ,KL Rahul,1,1,7,0,0,14.28,ODI no. 4190
62,IND vs NZ ,Rohit Sharma,1,1,4,0,0,25.00,ODI no. 4190
63,IND vs NZ ,Virat Kohli,1,1,6,0,0,16.66,ODI no. 4190
64,IND vs NZ ,Rishabh Pant,1,32,56,4,0,57.14,ODI no. 4190
65,IND vs NZ ,Dinesh Karthik,1,6,25,1,0,24.00,ODI no. 4190
