,Match,Name,Overs,Maiden,Runs,Wickets,ECON,0s,4s,6s,Wide,NB,MatchId
0,IND vs SA,Bhuvneshwar Kumar,10.0,0,44,2,4.4,33,3,0,2,0,ODI no. 4150
1,IND vs SA,Jasprit Bumrah,10.0,1,35,2,3.5,41,4,0,0,0,ODI no. 4150
2,IND vs SA,Hardik Pandya,6.0,0,31,0,5.16,16,2,0,0,0,ODI no. 4150
3,IND vs SA,Kuldeep Yadav,10.0,0,46,1,4.6,28,2,1,1,0,ODI no. 4150
4,IND vs SA,Yuzvendra Chahal,10.0,0,51,4,5.1,32,1,2,3,0,ODI no. 4150
5,IND vs SA,Kedar Jadhav,4.0,0,16,0,4.0,13,1,0,0,0,ODI no. 4150
6,AUS vs IND,Bhuvneshwar Kumar,10.0,0,50,3,5.0,31,5,0,1,0,ODI no. 4155
7,AUS vs IND,Jasprit Bumrah,10.0,1,61,3,6.1,34,9,0,1,0,ODI no. 4155
8,AUS vs IND,Hardik Pandya,10.0,0,68,0,6.8,24,6,1,2,1,ODI no. 4155
9,AUS vs IND,Kuldeep Yadav,9.0,0,55,0,6.11,19,4,1,0,0,ODI no. 4155
10,AUS vs IND,Yuzvendra Chahal,10.0,0,62,2,6.2,21,3,1,1,0,ODI no. 4155
11,AUS vs IND,Kedar Jadhav,1.0,0,14,0,14.0,2,1,1,2,0,ODI no. 4155
12,IND vs PAK,Bhuvneshwar Kumar,2.4,0,8,0,3.0,12,1,0,1,0,ODI no. 4161
13,IND vs PAK,Jasprit Bumrah,8.0,0,52,0,6.5,24,8,0,0,1,ODI no. 4161
14,IND vs PAK,Vijay Shankar,5.2,0,22,2,4.12,19,2,0,2,0,ODI no. 4161
15,IND vs PAK,Hardik Pandya,8.0,0,44,2,5.5,21,5,0,1,0,ODI no. 4161
16,IND vs PAK,Kuldeep Yadav,9.0,1,32,2,3.55,28,1,0,0,0,ODI no. 4161
17,IND vs PAK,Yuzvendra Chahal,7.0,0,53,0,7.57,13,1,3,2,0,ODI no. 4161
18,AFG vs IND,Mohammed Shami,9.5,1,40,4,4.06,38,4,0,3,0,ODI no. 4169
19,AFG vs IND,Jasprit Bumrah,10.0,1,39,2,3.9,37,1,1,0,0,ODI no. 4169
20,AFG vs IND,Yuzvendra Chahal,10.0,0,36,2,3.6,41,5,0,0,0,ODI no. 4169
21,AFG vs IND,Hardik Pandya,10.0,1,51,2,5.1,32,3,0,2,0,ODI no. 4169
22,AFG vs IND,Kuldeep Yadav,10.0,0,39,0,3.9,30,2,0,0,0,ODI no. 4169
23,IND vs WI,Mohammed Shami,6.2,0,16,4,2.52,29,2,0,1,0,ODI no. 4175
24,IND vs WI,Jasprit Bumrah,6.0,1,9,2,1.5,28,0,0,0,0,ODI no. 4175
