,Id,Team1,Team2,Winner,Margin,Date
0,ODI no. 4150,SA,IND,IND,6 wickets,05-Jun-19
1,ODI no. 4155,IND,AUS,IND,36 runs,09-Jun-19
2,ODI no. 4161,IND,PAK,IND,89 runs,16-Jun-19
3,ODI no. 4169,IND,AFG,IND,11 runs,22 June 2019
4,ODI no. 4175,IND,WI,IND,125 runs,27-Jun-19
5,ODI no. 4179,ENG,IND,ENG,31 runs,30-Jun-19
6,ODI no. 4182,IND,BAN,IND,28 runs,02-Jul-19
7,ODI no. 4187,SL,IND,IND,7 wickets,06-Jul-19
8,ODI no. 4190,NZ,IND,NZ,18 runs,10-Jul-19
9,ODI no. 4196,WI,IND,No result,No result,08-Aug-19
10,ODI no. 4197,IND,WI,IND,59 runs,11-Aug-19
11,ODI no. 4199,WI,IND,IND,6 wickets,14-Aug-19
12,ODI no. 4221,IND,WI,WI,8 wickets,15-Dec-19
13,ODI no. 4222,IND,WI,IND,107 runs,18-Dec-19
14,ODI no. 4223,WI,IND,IND,4 wickets,22-Dec-19
15,ODI no. 4231,IND,AUS,AUS,10 wickets,14-Jan-20
16,ODI no. 4232,IND,AUS,IND,36 runs,17-Jan-20
17,ODI no. 4233,AUS,IND,IND,7 wickets,19-Jan-20
18,ODI no. 4235,IND,NZ,NZ,4 wickets,05-Feb-20
19,ODI no. 4239,NZ,IND,NZ,22 runs,08-Feb-20
20,ODI no. 4243,IND,NZ,NZ,5 wickets,11-Feb-20
21,ODI no. 4265,AUS,IND,AUS,66 runs,27-Nov-20
22,ODI no. 4266,AUS,IND,AUS,51 runs,29-Nov-20
23,ODI no. 4267,IND,AUS,IND,13 runs,02-Dec-20
24,ODI no. 4281,IND,ENG,IND,66 runs,23-Mar-21
25,ODI no. 4283,IND,ENG,ENG,6 wickets,26-Mar-21
26,ODI no. 4284,IND,ENG,IND,7 runs,28-Mar-21
27,ODI no. 4307,SL,IND,IND,7 wickets,18-Jul-21
28,ODI no. 4309,SL,IND,IND,3 wickets,20-Jul-21
29,ODI no. 4312,IND,SL,SL,3 wickets,23-Jul-21
30,ODI no. 4344,SA,IND,SA,31 runs,19 January 2022
31,ODI no. 4346,IND,SA,SA,7 wickets,21-Jan-22
32,ODI no. 4349,SA,IND,SA,4 runs,23-Jan-22
33,ODI no. 4353,WI,IND,IND,6 wickets,06-Feb-22
34,ODI no. 4355,IND,WI,IND,44 runs,09-Feb-22
35,ODI no. 4356,IND,WI,IND,96 runs,11-Feb-22
36,ODI no. 4424,ENG,IND,IND,10 wickets,12-Jul-22
37,ODI no. 4428,ENG,IND,ENG,100 runs,14-Jul-22
38,ODI no. 4433,ENG,IND,IND,5 wickets,17-Jul-22
39,ODI no. 4436,IND,WI,IND,3 runs,22-Jul-22
40,ODI no. 4438,WI,IND,IND,2 wickets,24-Jul-22
41,ODI no. 4439,IND,WI,IND,119 runs,27-Jul-22
42,ODI no. 4451,ZIM,IND,IND,10 wickets,18-Aug-22
43,ODI no. 4454,ZIM,IND,IND,5 wickets,20-Aug-22
44,ODI no. 4457,IND,ZIM,IND,13 runs,22-Aug-22
45,ODI no. 4470,SA,IND,SA,9 runs,06-Oct-22
46,ODI no. 4471,SA,IND,IND,7 wickets,09-Oct-22
47,ODI no. 4472,SA,IND,IND,7 wickets,11-Oct-22
48,ODI no. 4483,IND,NZ,NZ,7 wickets,25-Nov-22
49,ODI no. 4487,IND,NZ,No result,No result,27-Nov-22
50,ODI no. 4489,IND,NZ,No result,No result,30-Nov-22
51,ODI no. 4493,IND,BAN,BAN,1 wicket,04-Dec-22
52,ODI no. 4496,BAN,IND,BAN,5 runs,07-Dec-22
53,ODI no. 4499,IND,BAN,IND,227 runs,10-Dec-22
54,ODI no. 4501,IND,SL,IND,67 runs,10-Jan-23
55,ODI no. 4503,SL,IND,IND,4 wickets,12-Jan-23
56,ODI no. 4505,IND,SL,IND,317 runs,15-Jan-23
57,ODI no. 4507,IND,NZ,IND,12 runs,18-Jan-23
58,ODI no. 4509,NZ,IND,IND,8 wickets,21-Jan-23
59,ODI no. 4511,IND,NZ,IND,90 runs,24-Jan-23
60,ODI no. 4538,AUS,IND,IND,5 wickets,17-Mar-23
61,ODI no. 4541,IND,AUS,AUS,10 wickets,19-Mar-23
62,ODI no. 4545,AUS,IND,AUS,21 runs,22-Mar-23
63,ODI no. 4622,WI,IND,IND,5 wickets,27-Jul-23
64,ODI no. 4623,IND,WI,WI,6 wickets,29-Jul-23
65,ODI no. 4624,IND,WI,IND,200 runs,01-Aug-23
