Abc,Match,Name,Out/NotOut,Runs,Balls,4s,6s,SR,MatchId
0,india vs south africa,"Shikhar
                                        Dhawan",Out,8,12,1,0,66.66,"ODI
                                    no. 4150"
1,india vs south africa,"Rohit
                                        Sharma",Not Out,122,144,13,2,84.72,"ODI
                                    no. 4150"
2,india vs south africa,"Virat
                                        Kohli (c)",Out,18,34,1,0,52.94,"ODI
                                    no. 4150"
3,india vs south africa,"KL
                                        Rahul",Out,26,42,2,0,61.90,"ODI
                                    no. 4150"
4,india vs south africa,"MS
                                        Dhoni �",Out,34,46,2,0,73.91,"ODI
                                    no. 4150"
5,india vs south africa,"Hardik
                                        Pandya",Not Out,15,7,3,0,214.28,"ODI
                                    no. 4150"
0,australia vs india,Rohit Sharma,Out,57,70,3,1,81.42,ODI no. 4155
1,australia vs india,Shikhar Dhawan,Out,117,109,16,0,107.33,ODI no. 4155
2,australia vs india,Virat Kohli (c),Out,82,77,4,2,106.49,ODI no. 4155
3,australia vs india,Hardik Pandya,Out,48,27,4,3,177.77,ODI no. 4155
4,australia vs india,MS Dhoni,Out,27,14,3,1,192.85,ODI no. 4155
5,australia vs india,KL Rahul,Not Out,11,3,1,1,366.66,ODI no. 4155
6,australia vs india,Kedar Jadhav,Not Out,0,0,0,0,-,ODI no. 4155
0,india vs pakistan,KL Rahul,Out,57,78,3,2,73.07,ODI no. 4161
1,india vs pakistan,Rohit Sharma,Out,140,113,14,3,123.89,ODI no. 4161
2,india vs pakistan,Virat Kohli (c),Out,77,65,7,0,118.46,ODI no. 4161
3,india vs pakistan,Hardik Pandya,Out,26,19,2,1,136.84,ODI no. 4161
4,india vs pakistan,MS Dhoni,Out,1,2,0,0,50.00,ODI no. 4161
5,india vs pakistan,Vijay Shankar,Not Out,15,15,1,0,100.00,ODI no. 4161
6,india vs pakistan,Kedar Jadhav,Not Out,9,8,1,0,112.50,ODI no. 4161
0,afghanistan vs india,"KL
                                        Rahul",Out,30,53,2,0,56.60,"ODI
                                    no. 4169"
1,afghanistan vs india,"Rohit
                                        Sharma",Out,1,10,0,0,10.00,"ODI
                                    no. 4169"
2,afghanistan vs india,"Virat
                                        Kohli (c)",Out,67,63,5,0,106.34,"ODI
                                    no. 4169"
3,afghanistan vs india,"Vijay
                                        Shankar",Out,29,41,2,0,70.73,"ODI
                                    no. 4169"
4,afghanistan vs india,"MS
                                        Dhoni �",Out,28,52,3,0,53.84,"ODI
                                    no. 4169"
5,afghanistan vs india,"Kedar
                                        Jadhav",Out,52,68,3,1,76.47,"ODI
                                    no. 4169"
6,afghanistan vs india,"Hardik
                                        Pandya",Out,7,9,0,0,77.77,"ODI
                                    no. 4169"
7,afghanistan vs india,"Mohammed
                                        Shami",Out,1,2,0,0,50.00,"ODI
                                    no. 4169"
8,afghanistan vs india,"Kuldeep
                                        Yadav",Not Out,1,1,0,0,100.00,"ODI
                                    no. 4169"
9,afghanistan vs india,"Jasprit
                                        Bumrah",Not Out,1,1,0,0,100.00,"ODI
                                    no. 4169"
0,india vs west indies,KL Rahul,Out,48,64,6,0,75.00,ODI no. 4175
1,india vs west indies,Rohit Sharma,Out,18,23,1,1,78.26,ODI no. 4175
2,india vs west indies,Virat Kohli (c),Out,72,82,8,0,87.80,ODI no. 4175
3,india vs west indies,Vijay Shankar,Out,14,19,3,0,73.68,ODI no. 4175
4,india vs west indies,Kedar Jadhav,Out,7,10,1,0,70.00,ODI no. 4175
5,india vs west indies,MS Dhoni,Not Out,56,61,3,2,91.80,ODI no. 4175
6,india vs west indies,Hardik Pandya,Out,46,38,5,0,121.05,ODI no. 4175
7,india vs west indies,Mohammed Shami,Out,0,2,0,0,0.00,ODI no. 4175
8,india vs west indies,Kuldeep Yadav,Not Out,0,1,0,0,0.00,ODI no. 4175
