Abc,Match,Name,Overs,Maiden,Runs,Wickets,ECON,0s,4s,6s,Wide,NB,MatchId
0,india vs south africa,"Bhuvneshwar
                                      Kumar",10,0,44,2,4.4,33,3,0,2,0,"ODI
                                    no. 4150"
1,india vs south africa,"Jasprit
                                      Bumrah",10,1,35,2,3.5,41,4,0,0,0,"ODI
                                    no. 4150"
2,india vs south africa,"Hardik
                                      Pandya",6,0,31,0,5.16,16,2,0,0,0,"ODI
                                    no. 4150"
3,india vs south africa,"Kuldeep
                                      Yadav",10,0,46,1,4.6,28,2,1,1,0,"ODI
                                    no. 4150"
4,india vs south africa,"Yuzvendra
                                      Chahal",10,0,51,4,5.1,32,1,2,3,0,"ODI
                                    no. 4150"
5,india vs south africa,"Kedar
                                      Jadhav",4,0,16,0,4,13,1,0,0,0,"ODI
                                    no. 4150"
0,australia vs india,Bhuvneshwar Kumar,10,0,50,3,5,31,5,0,1,0,ODI no. 4155
1,australia vs india,Jasprit Bumrah,10,1,61,3,6.1,34,9,0,1,0,ODI no. 4155
2,australia vs india,Hardik Pandya,10,0,68,0,6.8,24,6,1,2,1,ODI no. 4155
3,australia vs india,Kuldeep Yadav,9,0,55,0,6.11,19,4,1,0,0,ODI no. 4155
4,australia vs india,Yuzvendra Chahal,10,0,62,2,6.2,21,3,1,1,0,ODI no. 4155
5,australia vs india,Kedar Jadhav,1,0,14,0,14,2,1,1,2,0,ODI no. 4155
0,india vs pakistan,Bhuvneshwar Kumar,2.4,0,8,0,3,12,1,0,1,0,ODI no. 4161
1,india vs pakistan,Jasprit Bumrah,8,0,52,0,6.5,24,8,0,0,1,ODI no. 4161
2,india vs pakistan,Vijay Shankar,5.2,0,22,2,4.12,19,2,0,2,0,ODI no. 4161
3,india vs pakistan,Hardik Pandya,8,0,44,2,5.5,21,5,0,1,0,ODI no. 4161
4,india vs pakistan,Kuldeep Yadav,9,1,32,2,3.55,28,1,0,0,0,ODI no. 4161
5,india vs pakistan,Yuzvendra Chahal,7,0,53,0,7.57,13,1,3,2,0,ODI no. 4161
0,afghanistan vs india,"Mohammed
                                      Shami",9.5,1,40,4,4.06,38,4,0,3,0,"ODI
                                    no. 4169"
1,afghanistan vs india,"Jasprit
                                      Bumrah",10,1,39,2,3.9,37,1,1,0,0,"ODI
                                    no. 4169"
