,Match,Match_id,Name,Overs,Maiden,Runs,Wickets,ECON,0s,4s,6s,Wide,NB
0,SL vs IND,T20I no. 656,Jaydev Unadkat,3.0,0.0,35.0,1,11.66,8,4,2,2.0,0.0
1,SL vs IND,T20I no. 656,Washington Sundar,4.0,0.0,28.0,2,7.0,14,1,2,1.0,0.0
2,SL vs IND,T20I no. 656,Shardul Thakur,3.3,0.0,42.0,0,12.0,7,6,1,1.0,1.0
3,SL vs IND,T20I no. 656,Yuzvendra Chahal,4.0,0.0,37.0,2,9.25,8,2,2,1.0,0.0
4,SL vs IND,T20I no. 656,Vijay Shankar,2.0,0.0,15.0,0,7.5,2,0,0,1.0,0.0
5,SL vs IND,T20I no. 656,Suresh Raina,2.0,0.0,14.0,0,7.0,4,0,1,0.0,0.0
6,BAN vs IND,T20I no. 657,Jaydev Unadkat,4.0,0.0,38.0,3,9.5,9,2,2,4.0,0.0
7,BAN vs IND,T20I no. 657,Washington Sundar,4.0,0.0,23.0,0,5.75,13,3,0,2.0,0.0
8,BAN vs IND,T20I no. 657,Shardul Thakur,4.0,0.0,25.0,1,6.25,11,3,0,2.0,0.0
9,BAN vs IND,T20I no. 657,Yuzvendra Chahal,4.0,0.0,19.0,1,4.75,11,2,0,0.0,0.0
10,BAN vs IND,T20I no. 657,Vijay Shankar,4.0,0.0,32.0,2,8.0,11,2,1,3.0,2.0
11,SL vs IND,T20I no. 659,Jaydev Unadkat,3.0,0.0,33.0,1,11.0,6,0,3,1.0,0.0
12,SL vs IND,T20I no. 659,Washington Sundar,4.0,0.0,21.0,2,5.25,12,1,1,0.0,0.0
13,SL vs IND,T20I no. 659,Shardul Thakur,4.0,0.0,27.0,4,6.75,10,3,0,1.0,0.0
14,SL vs IND,T20I no. 659,Yuzvendra Chahal,4.0,0.0,34.0,1,8.5,10,1,2,2.0,1.0
15,SL vs IND,T20I no. 659,Vijay Shankar,3.0,0.0,30.0,1,10.0,6,1,2,1.0,0.0
16,SL vs IND,T20I no. 659,Suresh Raina,1.0,0.0,6.0,0,6.0,1,0,0,1.0,0.0
17,BAN vs IND,T20I no. 660,Mohammed Siraj,4.0,0.0,50.0,1,12.5,8,8,1,2.0,1.0
18,BAN vs IND,T20I no. 660,Washington Sundar,4.0,0.0,22.0,3,5.5,13,3,0,1.0,0.0
19,BAN vs IND,T20I no. 660,Shardul Thakur,4.0,0.0,37.0,1,9.25,6,4,1,0.0,0.0
20,BAN vs IND,T20I no. 660,Yuzvendra Chahal,4.0,0.0,21.0,1,5.25,13,1,1,2.0,0.0
21,BAN vs IND,T20I no. 660,Vijay Shankar,4.0,0.0,28.0,0,7.0,6,2,0,0.0,0.0
22,BAN vs IND,T20I no. 662,Jaydev Unadkat,4.0,0.0,33.0,2,8.25,7,2,1,2.0,0.0
23,BAN vs IND,T20I no. 662,Washington Sundar,4.0,0.0,20.0,1,5.0,11,0,1,0.0,0.0
24,BAN vs IND,T20I no. 662,Yuzvendra Chahal,4.0,0.0,18.0,3,4.5,9,1,0,0.0,0.0
25,BAN vs IND,T20I no. 662,Shardul Thakur,4.0,0.0,45.0,0,11.25,8,7,1,1.0,0.0
26,BAN vs IND,T20I no. 662,Vijay Shankar,4.0,0.0,48.0,0,12.0,4,3,3,1.0,0.0
27,IRE vs IND,T20I no. 678,Bhuvneshwar Kumar,4.0,0.0,16.0,0,4.0,12,1,0,0.0,0.0
28,IRE vs IND,T20I no. 678,Jasprit Bumrah,4.0,1.0,19.0,2,4.75,15,3,0,1.0,0.0
29,IRE vs IND,T20I no. 678,Hardik Pandya,4.0,0.0,36.0,0,9.0,6,4,1,0.0,0.0
30,IRE vs IND,T20I no. 678,Yuzvendra Chahal,4.0,0.0,38.0,3,9.5,9,0,4,0.0,0.0
31,IRE vs IND,T20I no. 678,Kuldeep Yadav,4.0,1.0,21.0,4,5.25,11,0,1,0.0,0.0
32,IRE vs IND,T20I no. 680,Umesh Yadav,2.0,0.0,19.0,2,9.5,6,2,1,0.0,0.0
33,IRE vs IND,T20I no. 680,Siddarth Kaul,2.0,0.0,4.0,1,2.0,10,0,0,1.0,0.0
34,IRE vs IND,T20I no. 680,Hardik Pandya,2.0,0.0,10.0,1,5.0,6,1,0,1.0,0.0
35,IRE vs IND,T20I no. 680,Yuzvendra Chahal,4.0,0.0,21.0,3,5.25,12,2,0,1.0,0.0
36,IRE vs IND,T20I no. 680,Kuldeep Yadav,2.3,0.0,16.0,3,6.4,8,1,1,0.0,0.0
37,ENG vs IND,T20I no. 684,Bhuvneshwar Kumar,4.0,0.0,45.0,0,11.25,8,5,1,4.0,0.0
38,ENG vs IND,T20I no. 684,Umesh Yadav,4.0,0.0,21.0,2,5.25,12,3,0,0.0,0.0
39,ENG vs IND,T20I no. 684,Yuzvendra Chahal,4.0,0.0,34.0,0,8.5,7,3,1,1.0,0.0
40,ENG vs IND,T20I no. 684,Hardik Pandya,4.0,0.0,33.0,1,8.25,10,4,1,0.0,0.0
41,ENG vs IND,T20I no. 684,Kuldeep Yadav,4.0,0.0,24.0,5,6.0,13,1,1,0.0,0.0
42,ENG vs IND,T20I no. 688,Umesh Yadav,4.0,0.0,36.0,2,9.0,12,6,1,0.0,0.0
43,ENG vs IND,T20I no. 688,Bhuvneshwar Kumar,3.4,0.0,19.0,1,5.18,11,1,1,0.0,0.0
44,ENG vs IND,T20I no. 688,Hardik Pandya,4.0,0.0,28.0,1,7.0,6,1,0,0.0,0.0
45,ENG vs IND,T20I no. 688,Yuzvendra Chahal,4.0,0.0,28.0,1,7.0,10,2,1,1.0,0.0
46,ENG vs IND,T20I no. 688,Kuldeep Yadav,4.0,0.0,34.0,0,8.5,9,1,3,0.0,0.0
47,ENG vs IND,T20I no. 690,Deepak Chahar,4.0,0.0,43.0,1,10.75,10,4,3,0.0,1.0
48,ENG vs IND,T20I no. 690,Umesh Yadav,4.0,0.0,48.0,1,12.0,9,6,3,0.0,0.0
49,ENG vs IND,T20I no. 690,Siddarth Kaul,4.0,0.0,35.0,2,8.75,9,3,2,0.0,0.0
50,ENG vs IND,T20I no. 690,Hardik Pandya,4.0,0.0,38.0,4,9.5,11,3,3,0.0,0.0
51,ENG vs IND,T20I no. 690,Yuzvendra Chahal,4.0,0.0,30.0,0,7.5,9,3,1,0.0,0.0
52,IND vs WI,T20I no. 707,Umesh Yadav,4.0,0.0,36.0,1,9.0,10,7,0,0.0,0.0
53,IND vs WI,T20I no. 707,Khaleel Ahmed,4.0,1.0,16.0,1,4.0,16,2,0,1.0,0.0
54,IND vs WI,T20I no. 707,Jasprit Bumrah,4.0,0.0,27.0,1,6.75,9,3,0,0.0,0.0
55,IND vs WI,T20I no. 707,Krunal Pandya,4.0,0.0,15.0,1,3.75,16,0,1,2.0,0.0
56,IND vs WI,T20I no. 707,Kuldeep Yadav,4.0,0.0,13.0,3,3.25,15,1,0,0.0,0.0
57,IND vs WI,T20I no. 709,Bhuvneshwar Kumar,4.0,0.0,12.0,2,3.0,18,0,1,0.0,0.0
58,IND vs WI,T20I no. 709,Khaleel Ahmed,4.0,0.0,30.0,2,7.5,11,5,0,1.0,0.0
59,IND vs WI,T20I no. 709,Jasprit Bumrah,4.0,0.0,20.0,2,5.0,14,3,0,1.0,0.0
60,IND vs WI,T20I no. 709,Krunal Pandya,4.0,0.0,23.0,0,5.75,12,1,0,2.0,0.0
61,IND vs WI,T20I no. 709,Kuldeep Yadav,4.0,0.0,32.0,2,8.0,14,2,3,0.0,0.0
62,IND vs WI,T20I no. 710,Khaleel Ahmed,4.0,0.0,37.0,0,9.25,12,4,2,1.0,0.0
63,IND vs WI,T20I no. 710,Washington Sundar,4.0,0.0,33.0,1,8.25,13,3,1,3.0,0.0
64,IND vs WI,T20I no. 710,Bhuvneshwar Kumar,4.0,0.0,39.0,0,9.75,7,4,2,0.0,0.0
65,IND vs WI,T20I no. 710,Krunal Pandya,4.0,0.0,40.0,0,10.0,7,1,3,3.0,0.0
66,IND vs WI,T20I no. 710,Yuzvendra Chahal,4.0,0.0,28.0,2,7.0,8,1,1,3.0,0.0
67,AUS vs IND,T20I no. 712,Bhuvneshwar Kumar,3.0,0.0,15.0,0,5.0,10,2,0,0.0,0.0
