,Id,Team1,Team2,Winner,Margin,Date
0,T20I no. 656,IND,SL,SL , 5 wickets ,06-Mar-18
1,T20I no. 657,BAN,IND,IND , 6 wickets ,08-Mar-18
2,T20I no. 659,SL,IND,IND , 6 wickets ,12-Mar-18
3,T20I no. 660,IND,BAN,IND , 17 runs,14-Mar-18
4,T20I no. 662,BAN,IND,IND , 4 wickets ,18-Mar-18
5,T20I no. 678,IND,IRE,IND , 76 runs,27-Jun-18
6,T20I no. 680,IND,IRE,IND , 143 runs,29-Jun-18
7,T20I no. 684,ENG,IND,IND , 8 wickets ,03-Jul-18
8,T20I no. 688,IND,ENG,ENG , 5 wickets ,06-Jul-18
9,T20I no. 690,ENG,IND,IND , 7 wickets ,08-Jul-18
10,T20I no. 707,WI,IND,IND , 5 wickets ,04-Nov-18
11,T20I no. 709,IND,WI,IND , 71 runs,06-Nov-18
12,T20I no. 710,WI,IND,IND , 6 wickets ,11-Nov-18
13,T20I no. 712,AUS,IND,AUS , 4 runs ,21-Nov-18
14,T20I no. 713,AUS,IND,No result,No result,23-Nov-18
15,T20I no. 714,AUS,IND,IND , 6 wickets ,25-Nov-18
16,T20I no. 735,NZ,IND,NZ , 80 runs,06-Feb-19
17,T20I no. 737,NZ,IND,IND , 7 wickets ,08-Feb-19
18,T20I no. 738,NZ,IND,NZ , 4 runs,10-Feb-19
19,T20I no. 748,IND,AUS,AUS , 3 wickets ,24-Feb-19
20,T20I no. 749,IND,AUS,AUS , 7 wickets ,27-Feb-19
21,T20I no. 842,WI,IND,IND , 4 wickets ,03-Aug-19
22,T20I no. 843,IND,WI,IND , 22 runs ,04-Aug-19
23,T20I no. 846,WI,IND,IND , 7 wickets ,06-Aug-19
25,T20I no. 888,SA,IND,IND , 7 wickets ,18-Sep-19
26,T20I no. 893,IND,SA,SA , 9 wickets ,22-Sep-19
27,T20I no. 1000,IND,BAN,BAN , 7 wickets ,03-Nov-19
28,T20I no. 1007,BAN,IND,IND , 8 wickets ,07-Nov-19
29,T20I no. 1014,IND,BAN,IND , 30 runs,10-Nov-19
30,T20I no. 1020,WI,IND,IND , 6 wickets ,06-Dec-19
31,T20I no. 1022,IND,WI,WI , 8 wickets ,08-Dec-19
32,T20I no. 1024,IND,WI,IND , 67 runs,11-Dec-19
34,T20I no. 1026,SL,IND,IND , 7 wickets ,07-Jan-20
35,T20I no. 1027,IND,SL,IND , 78 runs,10-Jan-20
36,T20I no. 1031,NZ,IND,IND , 6 wickets ,24-Jan-20
37,T20I no. 1034,NZ,IND,IND , 7 wickets ,26-Jan-20
38,T20I no. 1035,IND,NZ,Match tied (IND ,No result,29-Jan-20
39,T20I no. 1036,IND,NZ,Match tied (IND ,No result,31-Jan-20
40,T20I no. 1037,IND,NZ,IND , 7 runs,02-Feb-20
41,T20I no. 1114,IND,AUS,IND , 11 runs,04-Dec-20
42,T20I no. 1115,AUS,IND,IND , 6 wickets ,06-Dec-20
43,T20I no. 1116,AUS,IND,AUS , 12 runs,08-Dec-20
44,T20I no. 1131,IND,ENG,ENG , 8 wickets ,12-Mar-21
45,T20I no. 1132,ENG,IND,IND , 7 wickets ,14-Mar-21
46,T20I no. 1133,IND,ENG,ENG , 8 wickets ,16-Mar-21
47,T20I no. 1135,IND,ENG,IND , 8 runs,18-Mar-21
48,T20I no. 1138,IND,ENG,IND , 36 runs,20-Mar-21
49,T20I no. 1204,IND,SL,IND , 38 runs,25-Jul-21
50,T20I no. 1206,IND,SL,SL , 4 wickets ,28-Jul-21
51,T20I no. 1207,IND,SL,SL , 7 wickets ,29-Jul-21
52,T20I no. 1361,IND,PAK,PAK , 10 wickets ,24-Oct-21
53,T20I no. 1381,IND,NZ,NZ , 8 wickets ,31-Oct-21
54,T20I no. 1390,IND,AFG,IND , 66 runs,03-Nov-21
55,T20I no. 1396,SCO,IND,IND , 8 wickets ,05-Nov-21
56,T20I no. 1410,NAM,IND,IND , 9 wickets ,08-Nov-21
57,T20I no. 1434,NZ,IND,IND , 5 wickets ,17-Nov-21
58,T20I no. 1440,NZ,IND,IND , 7 wickets ,19-Nov-21
59,T20I no. 1446,IND,NZ,IND , 73 runs,21-Nov-21
60,T20I no. 1467,WI,IND,IND , 6 wickets ,16-Feb-22
61,T20I no. 1473,IND,WI,IND , 8 runs,18-Feb-22
62,T20I no. 1479,IND,WI,IND , 17 runs,20-Feb-22
63,T20I no. 1492,IND,SL,IND , 62 runs,24-Feb-22
64,T20I no. 1493,SL,IND,IND , 7 wickets ,26-Feb-22
65,T20I no. 1494,SL,IND,IND , 6 wickets ,27-Feb-22
66,T20I no. 1554,IND,SA,SA , 7 wickets ,09-Jun-22
67,T20I no. 1569,IND,SA,SA , 4 wickets ,12-Jun-22
68,T20I no. 1571,IND,SA,IND , 48 runs,14-Jun-22
69,T20I no. 1572,IND,SA,IND , 82 runs,17-Jun-22
70,T20I no. 1575,IND,SA,No result,No result,19-Jun-22
71,T20I no. 1580,IRE,IND,IND , 7 wickets ,26-Jun-22
72,T20I no. 1586,IND,IRE,IND , 4 runs,28-Jun-22
73,T20I no. 1616,IND,ENG,IND , 50 runs,07-Jul-22
74,T20I no. 1628,IND,ENG,IND , 49 runs,09-Jul-22
75,T20I no. 1631,ENG,IND,ENG , 17 runs,10-Jul-22
76,T20I no. 1702,IND,WI,IND , 68 runs,29-Jul-22
77,T20I no. 1718,IND,WI,WI , 5 wickets ,01-Aug-22
78,T20I no. 1720,WI,IND,IND , 7 wickets ,02-Aug-22
79,T20I no. 1725,IND,WI,IND , 59 runs,06-Aug-22
80,T20I no. 1726,IND,WI,IND , 88 runs,07-Aug-22
81,T20I no. 1750,PAK,IND,IND , 5 wickets ,28-Aug-22
82,T20I no. 1754,IND,HKG,IND , 40 runs,31-Aug-22
83,T20I no. 1758,IND,PAK,PAK , 5 wickets ,04-Sep-22
84,T20I no. 1759,IND,SL,SL , 6 wickets ,06-Sep-22
85,T20I no. 1761,IND,AFG,IND , 101 runs,08-Sep-22
86,T20I no. 1788,IND,AUS,AUS , 4 wickets ,20-Sep-22
87,T20I no. 1794,AUS,IND,IND , 6 wickets ,23-Sep-22
88,T20I no. 1796,AUS,IND,IND , 6 wickets ,25-Sep-22
89,T20I no. 1800,SA,IND,IND , 8 wickets ,28-Sep-22
90,T20I no. 1803,IND,SA,IND , 16 runs,02-Oct-22
91,T20I no. 1805,SA,IND,SA , 49 runs,04-Oct-22
92,T20I no. 1842,PAK,IND,IND , 4 wickets ,23-Oct-22
93,T20I no. 1848,IND,NET,IND , 56 runs,27-Oct-22
94,T20I no. 1853,IND,SA,SA , 5 wickets ,30-Oct-22
95,T20I no. 1860,IND,BAN,IND , 5 runs ,02-Nov-22
96,T20I no. 1873,IND,ZIM,IND , 71 runs,06-Nov-22
97,T20I no. 1878,IND,ENG,ENG , 10 wickets ,10-Nov-22
99,T20I no. 1898,IND,NZ,IND , 65 runs,20-Nov-22
100,T20I no. 1911,NZ,IND,Match tied (DLS method),No result,22-Nov-22
101,T20I no. 1984,IND,SL,IND , 2 runs,03-Jan-23
102,T20I no. 1985,SL,IND,SL , 16 runs,05-Jan-23
103,T20I no. 1986,IND,SL,IND , 91 runs,07-Jan-23
104,T20I no. 1990,NZ,IND,NZ , 21 runs,27-Jan-23
105,T20I no. 1991,NZ,IND,IND , 6 wickets ,29-Jan-23
106,T20I no. 1992,IND,NZ,IND , 168 runs,01-Feb-23
107,T20I no. 2188,WI,IND,WI , 4 runs,03-Aug-23
108,T20I no. 2191,IND,WI,WI , 2 wickets ,06-Aug-23
109,T20I no. 2192,WI,IND,IND , 7 wickets ,08-Aug-23
110,T20I no. 2193,WI,IND,IND , 9 wickets ,12-Aug-23
111,T20I no. 2194,IND,WI,WI , 8 wickets ,13-Aug-23
112,T20I no. 2200,IRE,IND,IND , 2 runs ,18-Aug-23
113,T20I no. 2208,IND,IRE,IND , 33 runs,20-Aug-23
