,Match,Match_id,Name,Out/NotOut,Runs,Balls,4s,6s,SR
0,SL vs IND,T20I no. 656,Rohit Sharma,1,0,4,0,0,0
1,SL vs IND,T20I no. 656,Shikhar Dhawan,1,90,49,6,6,183.67
2,SL vs IND,T20I no. 656,Suresh Raina,1,1,3,0,0,33.33
3,SL vs IND,T20I no. 656,Manish Pandey,1,37,35,3,1,105.71
4,SL vs IND,T20I no. 656,Rishabh Pant,1,23,23,1,1,100
5,SL vs IND,T20I no. 656,Dinesh Karthik,0,13,6,2,0,216.66
6,BAN vs IND,T20I no. 657,Rohit Sharma,1,17,13,3,0,130.76
7,BAN vs IND,T20I no. 657,Shikhar Dhawan,1,55,43,5,2,127.9
8,BAN vs IND,T20I no. 657,Rishabh Pant,1,7,8,1,0,87.5
9,BAN vs IND,T20I no. 657,Suresh Raina,1,28,27,1,1,103.7
10,BAN vs IND,T20I no. 657,Manish Pandey,0,27,19,3,0,142.1
11,BAN vs IND,T20I no. 657,Dinesh Karthik,0,2,2,0,0,100
12,SL vs IND,T20I no. 659,Rohit Sharma,1,11,7,1,1,157.14
13,SL vs IND,T20I no. 659,Shikhar Dhawan,1,8,10,1,0,80
14,SL vs IND,T20I no. 659,KL Rahul,1,18,17,1,0,105.88
15,SL vs IND,T20I no. 659,Suresh Raina,1,27,15,2,2,180
16,SL vs IND,T20I no. 659,Manish Pandey,0,42,31,3,1,135.48
17,SL vs IND,T20I no. 659,Dinesh Karthik,0,39,25,5,0,156
18,BAN vs IND,T20I no. 660,Rohit Sharma,1,89,61,5,5,145.9
19,BAN vs IND,T20I no. 660,Shikhar Dhawan,1,35,27,5,1,129.62
20,BAN vs IND,T20I no. 660,Suresh Raina,1,47,30,5,2,156.66
21,BAN vs IND,T20I no. 660,Dinesh Karthik,0,2,2,0,0,100
22,BAN vs IND,T20I no. 662,Shikhar Dhawan,1,10,7,0,1,142.85
23,BAN vs IND,T20I no. 662,Rohit Sharma,1,56,42,4,3,133.33
24,BAN vs IND,T20I no. 662,Suresh Raina,1,0,3,0,0,0
25,BAN vs IND,T20I no. 662,KL Rahul,1,24,14,2,1,171.42
26,BAN vs IND,T20I no. 662,Manish Pandey,1,28,27,3,0,103.7
27,BAN vs IND,T20I no. 662,Vijay Shankar,1,17,19,3,0,89.47
28,BAN vs IND,T20I no. 662,Dinesh Karthik,0,29,8,2,3,362.5
30,IRE vs IND,T20I no. 678,Rohit Sharma,1,97,61,8,5,159.01
31,IRE vs IND,T20I no. 678,Shikhar Dhawan,1,74,45,5,5,164.44
32,IRE vs IND,T20I no. 678,Suresh Raina,1,10,6,2,0,166.66
33,IRE vs IND,T20I no. 678,MS Dhoni,1,11,5,1,1,220
34,IRE vs IND,T20I no. 678,Hardik Pandya,0,6,1,0,1,600
35,IRE vs IND,T20I no. 678,Virat Kohli,1,0,2,0,0,0
37,IRE vs IND,T20I no. 680,KL Rahul,1,70,36,3,6,194.44
38,IRE vs IND,T20I no. 680,Virat Kohli,1,9,8,1,0,112.5
39,IRE vs IND,T20I no. 680,Suresh Raina,1,69,45,5,3,153.33
40,IRE vs IND,T20I no. 680,Rohit Sharma,1,0,2,0,0,0
41,IRE vs IND,T20I no. 680,Manish Pandey,0,21,20,1,0,105
42,IRE vs IND,T20I no. 680,Hardik Pandya,0,32,9,1,4,355.55
43,ENG vs IND,T20I no. 684,Shikhar Dhawan,1,4,4,1,0,100
44,ENG vs IND,T20I no. 684,Rohit Sharma,1,32,30,3,1,106.66
45,ENG vs IND,T20I no. 684,KL Rahul,0,101,54,10,5,187.03
46,ENG vs IND,T20I no. 684,Virat Kohli,0,20,22,0,1,90.9
47,ENG vs IND,T20I no. 688,Rohit Sharma,1,5,9,1,0,55.55
48,ENG vs IND,T20I no. 688,Shikhar Dhawan,1,10,12,1,0,83.33
49,ENG vs IND,T20I no. 688,KL Rahul,1,6,8,0,0,75
50,ENG vs IND,T20I no. 688,Virat Kohli,1,47,38,1,2,123.68
51,ENG vs IND,T20I no. 688,Suresh Raina,1,27,20,2,1,135
52,ENG vs IND,T20I no. 688,MS Dhoni,0,32,24,5,0,133.33
53,ENG vs IND,T20I no. 688,Hardik Pandya,0,12,10,0,1,120
54,ENG vs IND,T20I no. 690,Rohit Sharma,0,100,56,11,5,178.57
55,ENG vs IND,T20I no. 690,Shikhar Dhawan,1,5,3,1,0,166.66
56,ENG vs IND,T20I no. 690,KL Rahul,1,19,10,1,2,190
57,ENG vs IND,T20I no. 690,Virat Kohli,1,43,29,2,2,148.27
58,ENG vs IND,T20I no. 690,Hardik Pandya,0,33,14,4,2,235.71
59,IND vs WI,T20I no. 707,Rohit Sharma,1,6,6,1,0,100
60,IND vs WI,T20I no. 707,Shikhar Dhawan,1,3,8,0,0,37.5
61,IND vs WI,T20I no. 707,KL Rahul,1,16,22,2,0,72.72
