Abc,Match,Match_id,Name,Out/NotOut,Runs,Balls,4s,6s,SR
0,sri lanka vs india,T20I no. 656,Rohit Sharma�(c),Out,0,4,0,0,0
1,sri lanka vs india,T20I no. 656,Shikhar Dhawan,Out,90,49,6,6,183.67
2,sri lanka vs india,T20I no. 656,Suresh Raina,Out,1,3,0,0,33.33
3,sri lanka vs india,T20I no. 656,Manish Pandey,Out,37,35,3,1,105.71
4,sri lanka vs india,T20I no. 656,Rishabh Pant,Out,23,23,1,1,100
5,sri lanka vs india,T20I no. 656,Dinesh Karthik��,Not Out,13,6,2,0,216.66
0,bangladesh vs india,T20I no. 657,Rohit Sharma�(c),Out,17,13,3,0,130.76
1,bangladesh vs india,T20I no. 657,Shikhar Dhawan,Out,55,43,5,2,127.9
2,bangladesh vs india,T20I no. 657,Rishabh Pant,Out,7,8,1,0,87.5
3,bangladesh vs india,T20I no. 657,Suresh Raina,Out,28,27,1,1,103.7
4,bangladesh vs india,T20I no. 657,Manish Pandey,Not Out,27,19,3,0,142.1
5,bangladesh vs india,T20I no. 657,Dinesh Karthik��,Not Out,2,2,0,0,100
0,sri lanka vs india,T20I no. 659,Rohit Sharma�(c),Out,11,7,1,1,157.14
1,sri lanka vs india,T20I no. 659,Shikhar Dhawan,Out,8,10,1,0,80
2,sri lanka vs india,T20I no. 659,KL Rahul,Out,18,17,1,0,105.88
3,sri lanka vs india,T20I no. 659,Suresh Raina,Out,27,15,2,2,180
4,sri lanka vs india,T20I no. 659,Manish Pandey,Not Out,42,31,3,1,135.48
5,sri lanka vs india,T20I no. 659,Dinesh Karthik��,Not Out,39,25,5,0,156
0,bangladesh vs india,T20I no. 660,Rohit Sharma�(c),Out,89,61,5,5,145.9
1,bangladesh vs india,T20I no. 660,Shikhar Dhawan,Out,35,27,5,1,129.62
2,bangladesh vs india,T20I no. 660,Suresh Raina,Out,47,30,5,2,156.66
3,bangladesh vs india,T20I no. 660,Dinesh Karthik��,Not Out,2,2,0,0,100
0,bangladesh vs india,T20I no. 662,Shikhar Dhawan,Out,10,7,0,1,142.85
1,bangladesh vs india,T20I no. 662,Rohit Sharma�(c),Out,56,42,4,3,133.33
2,bangladesh vs india,T20I no. 662,Suresh Raina,Out,0,3,0,0,0
3,bangladesh vs india,T20I no. 662,KL Rahul,Out,24,14,2,1,171.42
4,bangladesh vs india,T20I no. 662,Manish Pandey,Out,28,27,3,0,103.7
5,bangladesh vs india,T20I no. 662,Vijay Shankar,Out,17,19,3,0,89.47
6,bangladesh vs india,T20I no. 662,Dinesh Karthik��,Not Out,29,8,2,3,362.5
7,bangladesh vs india,T20I no. 662,Washington Sundar,Not Out,0,0,0,0,-
0,ireland vs india,T20I no. 678,Rohit Sharma,Out,97,61,8,5,159.01
1,ireland vs india,T20I no. 678,Shikhar Dhawan,Out,74,45,5,5,164.44
