Abc,Match,Match_id,Name,Overs,Maiden,Runs,Wickets,ECON,0s,4s,6s,Wide,NB
0,sri lanka vs india,T20I no. 656,Jaydev Unadkat,3,0,35,1,11.66,8,4,2,2,0
1,sri lanka vs india,T20I no. 656,Washington Sundar,4,0,28,2,7.00,14,1,2,1,0
2,sri lanka vs india,T20I no. 656,Shardul Thakur,3.3,0,42,0,12.00,7,6,1,1,1
3,sri lanka vs india,T20I no. 656,Yuzvendra Chahal,4,0,37,2,9.25,8,2,2,1,0
4,sri lanka vs india,T20I no. 656,Vijay Shankar,2,0,15,0,7.50,2,0,0,1,0
5,sri lanka vs india,T20I no. 656,Suresh Raina,2,0,14,0,7.00,4,0,1,0,0
0,bangladesh vs india,T20I no. 657,Jaydev Unadkat,4,0,38,3,9.50,9,2,2,4,0
1,bangladesh vs india,T20I no. 657,Washington Sundar,4,0,23,0,5.75,13,3,0,2,0
2,bangladesh vs india,T20I no. 657,Shardul Thakur,4,0,25,1,6.25,11,3,0,2,0
3,bangladesh vs india,T20I no. 657,Yuzvendra Chahal,4,0,19,1,4.75,11,2,0,0,0
4,bangladesh vs india,T20I no. 657,Vijay Shankar,4,0,32,2,8.00,11,2,1,3,2
0,sri lanka vs india,T20I no. 659,Jaydev Unadkat,3,0,33,1,11.00,6,0,3,1,0
1,sri lanka vs india,T20I no. 659,Washington Sundar,4,0,21,2,5.25,12,1,1,0,0
2,sri lanka vs india,T20I no. 659,Shardul Thakur,4,0,27,4,6.75,10,3,0,1,0
3,sri lanka vs india,T20I no. 659,Yuzvendra Chahal,4,0,34,1,8.50,10,1,2,2,1
4,sri lanka vs india,T20I no. 659,Vijay Shankar,3,0,30,1,10.00,6,1,2,1,0
5,sri lanka vs india,T20I no. 659,Suresh Raina,1,0,6,0,6.00,1,0,0,1,0
0,bangladesh vs india,T20I no. 660,Mohammed Siraj,4,0,50,1,12.50,8,8,1,2,1
1,bangladesh vs india,T20I no. 660,Washington Sundar,4,0,22,3,5.50,13,3,0,1,0
2,bangladesh vs india,T20I no. 660,Shardul Thakur,4,0,37,1,9.25,6,4,1,0,0
3,bangladesh vs india,T20I no. 660,Yuzvendra Chahal,4,0,21,1,5.25,13,1,1,2,0
4,bangladesh vs india,T20I no. 660,Vijay Shankar,4,0,28,0,7.00,6,2,0,0,0
0,bangladesh vs india,T20I no. 662,Jaydev Unadkat,4,0,33,2,8.25,7,2,1,2,0
1,bangladesh vs india,T20I no. 662,Washington Sundar,4,0,20,1,5.00,11,0,1,0,0
2,bangladesh vs india,T20I no. 662,Yuzvendra Chahal,4,0,18,3,4.50,9,1,0,0,0
3,bangladesh vs india,T20I no. 662,Shardul Thakur,4,0,45,0,11.25,8,7,1,1,0
4,bangladesh vs india,T20I no. 662,Vijay Shankar,4,0,48,0,12.00,4,3,3,1,0
0,ireland vs india,T20I no. 678,Bhuvneshwar Kumar,4,0,16,0,4.00,12,1,0,0,0
1,ireland vs india,T20I no. 678,Jasprit Bumrah,4,1,19,2,4.75,15,3,0,1,0
2,ireland vs india,T20I no. 678,Hardik Pandya,4,0,36,0,9.00,6,4,1,0,0
3,ireland vs india,T20I no. 678,Yuzvendra Chahal,4,0,38,3,9.50,9,0,4,0,0
