,Name,Batting Style,Bowling Style,Fielding Position,Playing Role,Images
0,Arshdeep Singh,Left hand Bat,Left arm Medium fast,None,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322100/322178.png"
1,Avesh Khan,Right hand Bat,Right arm Fast medium,None,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322200/322244.png"
2,Axar Patel,Left hand Bat,Slow Left arm Orthodox,None,Bowling Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/331100/331164.png"
3,Bhuvneshwar Kumar,Right hand Bat,Right arm Medium,None,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/316600/316658.png"
4,Chetan Sakariya,Left hand Bat,Left arm Medium fast,None,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/339100/339148.png"
5,Deepak Chahar,Right hand Bat,Right arm Medium,None,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322700/322704.png"
6,Deepak Hooda,Right hand Bat,Right arm Offbreak,None,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/345000/345083.png"
7,Hardik Pandya,Right hand Bat,Right arm Medium fast,None,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/319900/319938.png"
8,Ishan Kishan,Left hand Bat,None,Wicketkeeper,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/331100/331165.png"
9,Jasprit Bumrah,Right hand Bat,Right arm Fast,None,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/319900/319940.png"
10,Jayant Yadav,Right hand Bat,Right arm Offbreak,None,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322500/322553.png"
11,KL Rahul,Right hand Bat,None,Wicketkeeper,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/319900/319942.png"
12,Kedar Jadhav,Right hand Bat,Right arm Offbreak,None,Batting Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/323000/323031.png"
13,Krishnappa Gowtham,Right hand Bat,Right arm Offbreak,None,Bowling Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/356800/356850.1.png"
14,Krunal Pandya,Left hand Bat,Slow Left arm Orthodox,None,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322600/322614.png"
15,Kuldeep Yadav,Left hand Bat,Left arm Wrist spin,None,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/319900/319943.png"
16,Manish Pandey,Right hand Bat,Right arm Medium,None,Top order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/323000/323052.png"
17,Mayank Agarwal,Right hand Bat,Right arm Offbreak,None,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322600/322626.png"
18,Mohammed Shami,Right hand Bat,Right arm Fast,None,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/316600/316691.png"
19,Mohammed Siraj,Right hand Bat,Right arm Fast,None,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322600/322611.png"
20,Navdeep Saini,Right hand Bat,Right arm Fast,None,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322700/322702.png"
21,Nitish Rana,Left hand Bat,"Right arm Medium, Right arm Offbreak, Legbreak",None,Middle order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/323000/323054.png"
22,Prasidh Krishna,Right hand Bat,Right arm Fast medium,None,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322600/322617.png"
23,Prithvi Shaw,Right hand Bat,Right arm Offbreak,None,Opening Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322600/322622.png"
24,Rahul Chahar,Right hand Bat,Legbreak Googly,None,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/331100/331166.png"
25,Ravi Bishnoi,Right hand Bat,Legbreak Googly,None,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/337100/337188.png"
